ROLE_MBR_ID,VER_NBR,OBJ_ID,ROLE_ID,MBR_ID,MBR_TYP_CD,ACTV_FRM_DT,ACTV_TO_DT,LAST_UPDT_DT
OLE1329,1,OLE1329,OLE18,OLE47,R,NULL,NULL,NULL
OLE1330,1,OLE1330,OLE18,OLE47,R,NULL,NULL,NULL
OLE1331,1,OLE1331,OLE18,OLE47,R,NULL,NULL,NULL
OLE1332,1,OLE1332,OLE18,OLE47,R,NULL,NULL,NULL
OLE1333,1,OLE1333,OLE18,OLE47,R,NULL,NULL,NULL
OLE1334,1,OLE1334,OLE18,OLE47,R,NULL,NULL,NULL
OLE1337,1,OLE1337,OLE56,OLE22,R,NULL,NULL,NULL
OLE1339,1,OLE1339,OLE28,OLE36,R,NULL,NULL,NULL
OLE1348,1,OLE1348,OLE70,OLE22,R,NULL,NULL,NULL
OLE1349,1,OLE1349,OLE70,OLE16,R,NULL,NULL,NULL
OLE1354,1,OLE1354,OLE26,OLE25,R,NULL,NULL,NULL
OLE1355,1,OLE1355,OLE44,OLE53,R,NULL,NULL,NULL
OLE1606,1,OLE1606,OLE84,OLE22,R,NULL,NULL,NULL
OLE1607,1,OLE1607,OLE84,OLE26,R,NULL,NULL,NULL
OLE1608,1,OLE1608,OLE84,OLE27,R,NULL,NULL,NULL
OLE1609,1,OLE1609,OLE84,OLE85,R,NULL,NULL,NULL
OLE1610,1,OLE1610,OLE84,OLE54,R,NULL,NULL,NULL
OLE1611,1,OLE1611,OLE84,OLE32,R,NULL,NULL,NULL
OLE1640,1,OLE1640,OLE20,OLE19,R,NULL,NULL,NULL
OLE1655,1,OLE1655,OLE53,OLE37,R,NULL,NULL,NULL
OLE1703,1,OLE1703,OLE44,OLE50,R,NULL,NULL,NULL
OLE1704,1,OLE1704,OLE44,OLE96,R,NULL,NULL,NULL
OLE6541,2,46c4d788-be8a-41e1-b247-862d15ab413e,OLE54,olequickstart,P,NULL,NULL,NULL
OLE9661,2,83cbf455-9971-44b1-8c10-06839a738b8b,OLE16,olequickstart,P,NULL,NULL,NULL
